method,n_agents,n_resources,makespan,lower_bound,normalized_makespan,scheduler_time_s,wall_time_s,dispatches,mean_utilization,min_utilization,p95_utilization,completed,valid,pattern,seed,unique_fraction,source_file,diagnostic_calls,diagnostic_selected_agents,diagnostic_scanned_agents,diagnostic_feasible_agents,diagnostic_candidate_map_time_s,diagnostic_candidate_reduce_time_s,diagnostic_solver_time_s,diagnostic_packing_time_s,diagnostic_empty_calls,diagnostic_simulation_mode,diagnostic_waves,diagnostic_utilization_by_resource,gate_score,gate_decision
OMP,100000,4,20.0,15.0,1.3333333333333333,1.2480335799996285,1.288220962000196,27,0.652135859116435,0.594655995468537,0.7213299071117163,100000,True,correlated_bursts,104,1.0,correlated_bursts_100000_104_omp.csv,47.0,100000.0,2155099.0,1148975.0,0.2107690010002443,0.0224078039996129,0.0205468889998883,0.9652157999998964,20.0,waves,20.0,"0.59465600,0.72695303,0.68946552,0.59746889",,
OLS,10000,4,20.0,15.0,1.3333333333333333,0.9471234729999196,0.9533196950001184,20,0.6524179879194498,0.5959221751260757,0.7182650920036634,10000,True,correlated_bursts,104,1.0,correlated_bursts_10000_104_ols.csv,40.0,10000.0,212530.0,111265.0,0.0233815259989569,0.0034264820001226,0.7244515820020752,0.1913432720011769,20.0,waves,20.0,"0.60236678,0.72365377,0.68772922,0.59592218",,
FIFO-Windowed,10000,4,35.0,14.0,2.5,0.0003773590001401,0.0003773590001401,35,,,,10000,True,correlated_bursts,102,1.0,correlated_bursts_10000_102_baseline.csv,,,,,,,,,,,,,,
Kahn-FIFO,10000,4,35.0,14.0,2.5,0.0003773590001401,0.0003773590001401,35,,,,10000,True,correlated_bursts,102,1.0,correlated_bursts_10000_102_baseline.csv,,,,,,,,,,,,,,
LangChain-FCFS-policy,10000,4,35.0,14.0,2.5,0.0003773590001401,0.0003773590001401,35,,,,10000,True,correlated_bursts,102,1.0,correlated_bursts_10000_102_baseline.csv,,,,,,,,,,,,,,
LangGraph-FCFS-policy,10000,4,35.0,14.0,2.5,0.0003773590001401,0.0003773590001401,35,,,,10000,True,correlated_bursts,102,1.0,correlated_bursts_10000_102_baseline.csv,,,,,,,,,,,,,,
FIFO-Strict,10000,4,35.0,14.0,2.5,4.465600022740546e-05,4.465600022740546e-05,35,,,,10000,True,correlated_bursts,102,1.0,correlated_bursts_10000_102_baseline.csv,,,,,,,,,,,,,,
OLS,100000,4,28.0,15.0,1.8666666666666667,3.631279951001488,3.674550315000033,30,0.4754107387316724,0.4360435117948907,0.5070882377892251,100000,True,correlated_bursts,106,1.0,correlated_bursts_100000_106_ols.csv,58.0,100000.0,2429019.0,1265024.0,0.2297620829986044,0.0247884640011761,2.2935483699989163,1.0520901409986436,28.0,waves,28.0,"0.43604351,0.46587788,0.51018572,0.48953585",,
OLS,1000000,4,19.0,15.0,1.2666666666666666,12.463519751000833,12.86096472400004,33,0.6867891269631312,0.6243984525037063,0.7615898034163237,1000000,True,correlated_bursts,104,1.0,correlated_bursts_1000000_104_ols.csv,52.0,1000000.0,19890770.0,11766627.0,2.026407106001443,0.1962011359989901,4.27808320400095,5.687435876000563,19.0,waves,19.0,"0.62439845,0.76782748,0.72624296,0.62868762",,
MP,100000,4,17.0,15.0,1.1333333333333333,1.001525553997908,1.037646739000138,24,0.7678608770414428,0.6960465891864253,0.8203553733978458,100000,True,correlated_bursts,109,1.0,correlated_bursts_100000_109_mp.csv,41.0,100000.0,1889250.0,1044132.0,0.1760039060000053,0.0193225269995309,0.0142106659986893,0.7686589659983838,17.0,waves,17.0,"0.80008803,0.69604659,0.75137692,0.82393196",,
IRLS,100000,4,20.0,15.0,1.3333333333333333,1.4331888089996028,1.4709324999998898,29,0.666218980898728,0.6075698202951749,0.7057190337823074,100000,True,iid,106,1.0,iid_100000_106_irls.csv,49.0,100000.0,2394416.0,1173022.0,0.268913590000011,0.0462316360008117,0.1024464460006129,0.985712249001608,20.0,waves,20.0,"0.60756982,0.65478009,0.70762876,0.69489725",,
